; CSV file generated by FPGA Logic Analyzer
; Sample Rate: 1000000 Hz
; Channels: 8, Samples: 49152
;
time,CH0,CH1,CH2,CH3,CH4,CH5,CH6,CH7
0.006804000,1,1,1,1,1,1,1,1
0.006805000,1,1,1,1,1,1,1,1
0.006806000,1,1,1,1,1,1,1,1
0.006807000,1,1,1,1,1,1,1,1
0.006808000,1,1,1,1,1,1,1,1
0.006809000,1,1,1,1,1,1,1,1
0.006810000,1,1,1,1,1,1,1,1
0.006811000,1,1,1,1,1,1,1,1
0.006812000,1,1,1,1,1,1,1,1
0.006813000,1,1,1,1,1,1,1,1
0.006814000,1,1,1,1,1,1,1,1
0.006815000,1,1,1,1,1,1,1,1
0.006816000,1,1,1,1,1,1,1,1
0.006817000,1,1,1,1,1,1,1,1
0.006818000,1,1,1,1,1,1,1,1
0.006819000,1,1,1,1,1,1,1,1
0.006820000,1,1,1,1,1,1,1,1
0.006821000,1,1,1,1,1,1,1,1
0.006822000,1,1,1,1,1,1,1,1
0.006823000,1,1,1,1,1,1,1,1
0.006824000,1,1,1,1,1,1,1,1
0.006825000,1,1,1,1,1,1,1,1
0.006826000,1,1,1,1,1,1,1,1
0.006827000,1,1,1,1,1,1,1,1
0.006828000,1,1,1,1,1,1,1,1
0.006829000,1,1,1,1,1,1,1,1
0.006830000,1,1,1,1,1,1,1,1
0.006831000,1,1,1,1,1,1,1,1
0.006832000,1,1,1,1,1,1,1,1
0.006833000,1,1,1,1,1,1,1,1
0.006834000,1,1,1,1,1,1,1,1
0.006835000,1,1,1,1,1,1,1,1
0.006836000,1,1,1,1,1,1,1,1
0.006837000,1,1,1,1,1,1,1,1
0.006838000,1,1,1,1,1,1,1,1
0.006839000,1,1,1,1,1,1,1,1
0.006840000,1,1,1,1,1,1,1,1
0.006841000,1,1,1,1,1,1,1,1
0.006842000,1,1,1,1,1,1,1,1
0.006843000,1,1,1,1,1,1,1,1
0.006844000,1,1,1,1,1,1,1,1
0.006845000,1,1,1,1,1,1,1,1
0.006846000,1,1,1,1,1,1,1,1
0.006847000,1,1,1,1,1,1,1,1
0.006848000,1,1,1,1,1,1,1,1
0.006849000,1,1,1,1,1,1,1,1
0.006850000,1,1,1,1,1,1,1,1
0.006851000,1,1,1,1,1,1,1,1
0.006852000,1,1,1,1,1,1,1,1
0.006853000,1,1,1,1,1,1,1,1
0.006854000,1,1,1,1,1,1,1,1
0.006855000,1,1,1,1,1,1,1,1
0.006856000,1,1,1,1,1,1,1,1
0.006857000,1,1,1,1,1,1,1,1
0.006858000,1,1,1,1,1,1,1,1
0.006859000,1,1,1,1,1,1,1,1
0.006860000,1,1,1,1,1,1,1,1
0.006861000,1,1,1,1,1,1,1,1
0.006862000,1,1,1,1,1,1,1,1
0.006863000,1,1,1,1,1,1,1,1
0.006864000,1,1,1,1,1,1,1,1
0.006865000,1,1,1,1,1,1,1,1
0.006866000,1,1,1,1,1,1,1,1
0.006867000,1,1,1,1,1,1,1,1
0.006868000,1,1,1,1,1,1,1,1
